CPU TIME (ms) BEGIN (total = 36102578) Thu May 15 18:28:42 2014
rank   self  accum   count trace method
 234  0.01% 97.24%    1656 320388 sun.reflect.ClassFileAssembler.emitShort
 235  0.01% 97.25%    1942 313144 java.lang.ThreadLocal.get
 236  0.01% 97.26%    5694 305525 java.lang.CharacterDataLatin1.toLowerCase
 237  0.01% 97.28%    3679 318798 java.io.BufferedReader.readLine
 238  0.01% 97.29%    1380 319895 sun.reflect.ClassFileAssembler.emitShort
 239  0.01% 97.31%       6 322070 com.mysql.jdbc.CallableStatement.generateParameterMap
 240  0.01% 97.32%       6 321951 com.mysql.jdbc.CallableStatement.generateParameterMap
 241  0.01% 97.34%     965 319932 java.lang.AbstractStringBuilder.append
 242  0.01% 97.35%    1698 319356 java.lang.Character.toLowerCase
 243  0.01% 97.36%    9118 319011 java.lang.Math.min
 244  0.01% 97.38%    8488 318960 java.lang.Integer.stringSize
 245  0.01% 97.39%    3679 318795 java.util.Arrays.copyOfRange
 246  0.01% 97.40%       2 321143 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 247  0.01% 97.42%    1941 319031 sun.misc.FloatingDecimal.developLongDigits
 248  0.01% 97.43%       1 321471 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 249  0.01% 97.44%     283 319335 am.Database.execute
 250  0.01% 97.46%    1698 319352 java.lang.Character.toUpperCase
 251  0.01% 97.47%    4416 320075 java.lang.String.length
 252  0.01% 97.48%    1262 312297 java.net.SocketInputStream.read
 253  0.01% 97.49%    1242 320176 sun.reflect.ClassFileAssembler.emitShort
 254  0.01% 97.51%     826 319295 java.util.concurrent.locks.AbstractQueuedSynchronizer.parkAndCheckInterrupt
 255  0.01% 97.52%    1654 320258 sun.reflect.ClassFileAssembler.emitByte
 256  0.01% 97.53%    3988 305678 java.lang.Character.toUpperCase
 257  0.01% 97.54%    8997 313151 java.lang.ref.Reference.get
 258  0.01% 97.55%     827 320259 sun.reflect.ClassFileAssembler.emitShort
 259  0.01% 97.57%    6792 319082 java.lang.Double.doubleValue
 260  0.01% 97.58%     138 320190 sun.reflect.AccessorGenerator.emitMethod
 261  0.01% 97.59%     420 320282 sun.reflect.Label.bind
 262  0.01% 97.60%    1656 320059 sun.reflect.ClassFileAssembler.emitShort
 263  0.01% 97.61%       1 321422 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 264  0.01% 97.62%    7291 319036 sun.misc.FloatingDecimal.roundup
 265  0.01% 97.64%    9869 318995 java.lang.Math.max
 266  0.01% 97.65%    2208 320093 sun.reflect.ClassFileAssembler.emitByte
 267  0.01% 97.66%    2830 318949 am.Corrector.correctMissing
 268  0.01% 97.67%       1 321366 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 269  0.01% 97.68%       1 321342 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 270  0.01% 97.69%    2830 318948 am.Record.determineMissing
 271  0.01% 97.70%     138 320522 sun.reflect.ClassDefiner.defineClass
 272  0.01% 97.71%   10015 318993 java.lang.Double.doubleToLongBits
 273  0.01% 97.72%    2830 319070 am.RecordBuffer.add
 274  0.01% 97.73%     852 317397 com.mysql.jdbc.StringUtils.startsWithIgnoreCaseAndWs
 275  0.01% 97.74%    4416 320076 java.lang.String.length
 276  0.01% 97.75%      25 313143 java.lang.ThreadLocal.setInitialValue
 277  0.01% 97.77%    1656 320391 sun.reflect.ClassFileAssembler.emitByte
 278  0.01% 97.78%     138 320188 sun.reflect.ClassFileAssembler.append
 279  0.01% 97.79%    1932 320031 sun.reflect.ClassFileAssembler.emitShort
 280  0.01% 97.80%     414 320392 sun.reflect.ClassFileAssembler.emitInt
 281  0.01% 97.81%    1104 319856 sun.reflect.ClassFileAssembler.emitShort
CPU TIME (ms) END
